State,Year,ClassNumber,Number of oil wells,Oil wells: oil rate per Well (barrels per day),Number of natural gas wells,Natural gas wells: natural gas rate per well
AK,2023,1,29,0.341,36,0.646
AK,2023,2,12,1.166,7,7.785
AK,2023,3,14,2.431,15,12.308
AK,2023,4,20,3.935,9,25.519
AK,2023,5,8,5.685,5,32.614
AK,2023,6,18,7.426,6,40.223
AK,2023,6.5,101,3.304,78,12.478
AK,2023,7,12,9.422,2,52.504
AK,2023,8,13,11.633,6,73.55
AK,2023,8.5,126,4.963,86,18.824
AK,2023,9,28,15.225,12,78.873
AK,2023,10,18,20.158,11,115.097
AK,2023,11,26,24.445,5,153.879
AK,2023,12,46,31.872,14,188.97
AK,2023,13,65,40.29,17,236.426
AK,2023,14,307,69.348,55,389.271
AK,2023,14.5,616,46.68,200,175.534
AK,2023,15,452,128.591,71,736.473
AK,2023,16,386,234.271,106,1287.187
AK,2023,17,284,433.729,77,2343.736
AK,2023,18,93,882.474,26,4297.921
AK,2023,19,18,1695.192,7,9727.05
AK,2023,20,3,3416.87,0,0
AK,2023,21,1,5597.307,0,0
AK,2023,22,0,0,0,0
AK,2023,23,1853,229.272,487,1267.461
AK,2022,1,24,0.392,31,1.536
AK,2022,2,7,1.107,15,8.074
AK,2022,3,18,2.385,17,12.786
AK,2022,4,12,4.038,6,27.018
AK,2022,5,21,5.288,7,32.606
AK,2022,6,13,7.924,5,40.371
AK,2022,6.5,95,3.526,81,11.884
AK,2022,7,16,9.526,4,59.916
AK,2022,8,20,11.354,7,68.536
AK,2022,8.5,131,5.612,92,18.227
AK,2022,9,26,14.758,9,93.812
AK,2022,10,15,19.7,13,123.11
AK,2022,11,31,23.337,5,140.572
AK,2022,12,58,31.236,7,137.634
AK,2022,13,50,39.759,14,235.2
AK,2022,14,304,69.653,57,354.444
AK,2022,14.5,615,45.214,197,165.928
AK,2022,15,453,132.179,99,685.167
AK,2022,16,358,239.182,127,1210.026
AK,2022,17,245,446.521,85,2161.4
AK,2022,18,87,806.625,47,4021.507
AK,2022,19,16,1735.552,2,10043.727
AK,2022,20,4,3072.659,1,11558.451
AK,2022,21,3,5907.555,0,0
AK,2022,22,0,0,0,0
AK,2022,23,1781,229.23,558,1218.704
AK,2021,1,29,0.285,34,1.579
AK,2021,2,9,1.43,9,7.25
AK,2021,3,14,2.828,26,15.195
AK,2021,4,13,4.06,9,23.876
AK,2021,5,14,5.974,8,32.608
AK,2021,6,14,6.961,8,46.908
AK,2021,6.5,93,3.05,94,15.382
AK,2021,7,14,9.875,7,58.013
AK,2021,8,20,11.11,3,74.976
AK,2021,8.5,127,5.235,104,20.208
AK,2021,9,31,15.267,14,82.581
AK,2021,10,25,19.243,7,133.431
AK,2021,11,25,24.504,10,129.557
AK,2021,12,53,30.286,17,177.789
AK,2021,13,67,38.646,11,196.933
AK,2021,14,272,67.447,61,380.187
AK,2021,14.5,600,42.19,224,160.125
AK,2021,15,490,129.863,77,750.369
AK,2021,16,394,231.394,92,1223.185
AK,2021,17,268,419.05,76,2235.985
AK,2021,18,99,800.397,29,3748.235
AK,2021,19,15,2186.898,2,8087.93
AK,2021,20,0,0,0,0
AK,2021,21,1,8869.94,0,0
AK,2021,22,0,0,0,0
AK,2021,23,1867,222.476,500,1034.898
AK,2020,1,18,0.357,22,1.653
AK,2020,2,9,1.303,8,8.672
AK,2020,3,20,2.627,9,15.157
AK,2020,4,16,4.52,10,21.671
AK,2020,5,8,5.535,5,30.102
AK,2020,6,12,7.159,5,35.838
AK,2020,6.5,83,3.358,59,13.953
AK,2020,7,9,7.917,4,47.364
AK,2020,8,25,11.188,3,68.903
AK,2020,8.5,117,5.438,66,18.92
AK,2020,9,39,14.562,17,84.724
AK,2020,10,34,20.726,8,102.597
AK,2020,11,26,24.813,11,148.85
AK,2020,12,62,30.425,16,192.569
AK,2020,13,48,39.761,12,189.168
AK,2020,14,288,66.516,63,379.042
AK,2020,14.5,614,41.957,193,183.073
AK,2020,15,474,127.926,84,743.236
AK,2020,16,370,235.185,81,1234.549
AK,2020,17,274,424.224,77,2048.216
AK,2020,18,124,806.924,21,4263.079
AK,2020,19,10,2093.644,0,0
AK,2020,20,1,5942.126,0,0
AK,2020,21,1,8103.615,0,0
AK,2020,22,0,0,0,0
AK,2020,23,1868,226.987,456,983.315
AK,2019,1,18,0.349,21,1.364
AK,2019,2,15,1.357,10,7.877
AK,2019,3,15,2.314,12,12.927
AK,2019,4,13,4.42,12,23.46
AK,2019,5,15,5.372,7,30.329
AK,2019,6,10,7.203,3,47.5
AK,2019,6.5,86,3.2,65,14.069
AK,2019,7,13,9.459,3,60.014
AK,2019,8,12,11.207,8,68.41
AK,2019,8.5,111,4.94,76,21.504
AK,2019,9,27,14.412,11,78.112
AK,2019,10,36,19.604,8,114.064
AK,2019,11,24,25.306,11,155.347
AK,2019,12,75,30.907,14,193.173
AK,2019,13,47,40.184,7,186.753
AK,2019,14,305,66.012,48,390.884
AK,2019,14.5,625,42.934,175,163.647
AK,2019,15,508,127.001,62,739.028
AK,2019,16,454,234.645,74,1229.523
AK,2019,17,297,436.007,43,2284.793
AK,2019,18,95,812.985,19,4485.788
AK,2019,19,18,2028.65,0,0
AK,2019,20,2,3367.068,0,0
AK,2019,21,3,7449.994,0,0
AK,2019,22,0,0,0,0
AK,2019,23,2002,229.975,373,942.463
AK,2018,1,14,0.383,20,0.919
AK,2018,2,10,1.28,5,7.982
AK,2018,3,21,2.561,6,13.995
AK,2018,4,9,3.63,7,24.64
AK,2018,5,13,5.748,7,27.754
AK,2018,6,11,7.564,2,37.401
AK,2018,6.5,78,3.366,47,11.963
AK,2018,7,11,9.407,4,61.648
AK,2018,8,20,11.867,10,56.297
AK,2018,8.5,109,5.5,61,23.436
AK,2018,9,25,14.876,5,87.24
AK,2018,10,34,19.578,11,128.285
AK,2018,11,28,22.968,10,150.43
AK,2018,12,60,31.552,16,188.824
AK,2018,13,72,39.93,8,230.684
AK,2018,14,286,66.47,52,380.387
AK,2018,14.5,614,42.368,163,188.516
AK,2018,15,503,129.721,47,758.028
AK,2018,16,468,236.318,64,1387.282
AK,2018,17,316,427.896,62,2277.413
AK,2018,18,97,856.472,20,4252.617
AK,2018,19,9,1848.465,1,7595.277
AK,2018,20,7,3769.097,0,0
AK,2018,21,1,7265.778,0,0
AK,2018,22,0,0,0,0
AK,2018,23,2015,231.339,357,1099.665
AK,2017,1,7,0.315,29,0.976
AK,2017,2,2,1.033,5,8.477
AK,2017,3,17,2.383,17,12.501
AK,2017,4,21,4.154,7,23.584
AK,2017,5,12,5.957,2,38.244
AK,2017,6,13,7.975,6,44.148
AK,2017,6.5,72,4.328,66,11.833
AK,2017,7,17,9.837,7,50.702
AK,2017,8,20,11.838,3,52.81
AK,2017,8.5,109,6.557,76,16.805
AK,2017,9,32,14.989,14,97.303
AK,2017,10,34,20.047,2,116.728
AK,2017,11,24,24.382,5,144.637
AK,2017,12,62,31.619,14,195.974
AK,2017,13,68,38.815,8,262.391
AK,2017,14,285,68.132,49,381.663
AK,2017,14.5,614,43.964,168,169.114
AK,2017,15,493,128.127,56,725.346
AK,2017,16,479,237.735,63,1418.887
AK,2017,17,347,431.498,39,2494.086
AK,2017,18,111,824.494,21,5152.832
AK,2017,19,22,1813.911,4,7754.549
AK,2017,20,4,5265.43,0,0
AK,2017,21,1,6973.853,0,0
AK,2017,22,0,0,0,0
AK,2017,23,2071,238.962,351,1164.588
AK,2016,1,15,0.245,21,1.895
AK,2016,2,6,1.086,4,10.452
AK,2016,3,11,2.575,7,14.488
AK,2016,4,13,3.708,9,28.163
AK,2016,5,12,5.712,8,35.164
AK,2016,6,17,7.849,6,38.373
AK,2016,6.5,74,3.957,55,16.843
AK,2016,7,13,9.659,4,44.296
AK,2016,8,20,10.842,4,83.807
AK,2016,8.5,107,5.922,63,23.328
AK,2016,9,39,14.527,8,88.635
AK,2016,10,25,20.249,8,88.876
AK,2016,11,30,24.285,4,119.128
AK,2016,12,67,30.518,16,193.76
AK,2016,13,59,39.892,9,233.686
AK,2016,14,310,69.24,49,385.971
AK,2016,14.5,637,44.636,157,177.802
AK,2016,15,498,127.691,53,782.785
AK,2016,16,484,241.306,53,1518.888
AK,2016,17,339,430.799,47,2433.581
AK,2016,18,124,806.251,14,5500.681
AK,2016,19,21,1859.6,1,7531.161
AK,2016,20,0,0,0,0
AK,2016,21,1,9374.56,0,0
AK,2016,22,0,0,0,0
AK,2016,23,2104,235.324,325,1079.847
AK,2015,1,22,0.275,24,1.563
AK,2015,2,7,1.055,8,8.199
AK,2015,3,12,2.648,6,15.874
AK,2015,4,18,4.365,4,19.696
AK,2015,5,22,6.461,9,37.032
AK,2015,6,10,8.515,5,46.392
AK,2015,6.5,91,3.911,56,15.845
AK,2015,7,7,9.498,6,53.11
AK,2015,8,13,12.036,4,75.708
AK,2015,8.5,111,5.272,66,22.816
AK,2015,9,29,14.569,6,78.054
AK,2015,10,34,19.78,6,105.242
AK,2015,11,28,24.329,5,133.99
AK,2015,12,53,30.596,14,197.758
AK,2015,13,53,38.273,9,238.006
AK,2015,14,267,64.163,44,405.421
AK,2015,14.5,575,40.598,150,177
AK,2015,15,512,125.645,47,785.166
AK,2015,16,520,235.64,62,1542.879
AK,2015,17,351,423.732,37,2593.004
AK,2015,18,138,843.265,14,5723.683
AK,2015,19,15,1670.244,1,10976.236
AK,2015,20,1,5830.32,0,0
AK,2015,21,0,0,0,0
AK,2015,22,0,0,0,0
AK,2015,23,2112,233.941,311,1143.787
AK,2014,1,27,0.303,19,1.336
AK,2014,2,12,1.297,6,7.392
AK,2014,3,10,2.379,4,13.675
AK,2014,4,12,4.46,7,27.309
AK,2014,5,21,6.342,2,41.864
AK,2014,6,16,7.986,5,46.306
AK,2014,6.5,98,3.703,43,15.093
AK,2014,7,10,9.902,8,53.427
AK,2014,8,9,9.906,4,77.12
AK,2014,8.5,117,4.603,55,26.039
AK,2014,9,21,15.652,8,92.871
AK,2014,10,18,19.337,4,136.714
AK,2014,11,32,24.996,11,140.5
AK,2014,12,51,31.89,16,204.199
AK,2014,13,50,40.101,10,259.477
AK,2014,14,298,66.527,34,413.397
AK,2014,14.5,587,44.142,138,174.525
AK,2014,15,465,130.217,53,801.036
AK,2014,16,518,239.803,50,1528.294
AK,2014,17,339,431.883,40,2821.772
AK,2014,18,135,829.773,17,6155.753
AK,2014,19,21,1754.946,2,10799.315
AK,2014,20,1,3582.458,0,0
AK,2014,21,0,0,0,0
AK,2014,22,0,0,0,0
AK,2014,23,2066,245.89,300,1301.335
AK,2013,1,29,0.233,11,1.845
AK,2013,2,14,1.378,8,9.039
AK,2013,3,18,2.394,5,15.199
AK,2013,4,12,4.768,5,27.029
AK,2013,5,13,6.394,7,37.238
AK,2013,6,4,7.769,4,42.683
AK,2013,6.5,90,2.777,40,19.225
AK,2013,7,14,10.065,4,58.773
AK,2013,8,16,12.11,4,73.237
AK,2013,8.5,120,4.869,48,27.98
AK,2013,9,25,15.2,6,109.269
AK,2013,10,19,19.865,7,138.049
AK,2013,11,24,23.204,8,121.636
AK,2013,12,53,31.583,12,191.599
AK,2013,13,54,40.677,6,224.393
AK,2013,14,257,68.96,37,394.952
AK,2013,14.5,552,43.563,124,185.117
AK,2013,15,453,130.951,51,783.516
AK,2013,16,452,248.951,67,1464.574
AK,2013,17,365,447.257,41,2696.925
AK,2013,18,145,837.39,7,4551.414
AK,2013,19,27,1625.52,3,11612.55
AK,2013,20,2,3614.626,0,0
AK,2013,21,0,0,0,0
AK,2013,22,0,0,0,0
AK,2013,23,1996,264.965,293,1180.716
AK,2012,1,20,0.353,16,1.624
AK,2012,2,8,1.287,4,8.926
AK,2012,3,18,2.432,8,16.974
AK,2012,4,13,4.46,7,25.661
AK,2012,5,13,6.148,4,36.002
AK,2012,6,11,8.031,5,44.996
AK,2012,6.5,83,3.617,44,17.639
AK,2012,7,7,10.357,5,54.346
AK,2012,8,7,10.903,3,75.813
AK,2012,8.5,97,4.652,52,25.369
AK,2012,9,28,15.562,14,97.797
AK,2012,10,18,20.376,5,125.126
AK,2012,11,18,25.51,3,161.095
AK,2012,12,49,30.123,7,189.548
AK,2012,13,49,40.741,8,234.16
AK,2012,14,233,66.824,31,380.339
AK,2012,14.5,492,42.59,120,161.739
AK,2012,15,480,132.215,37,844.448
AK,2012,16,456,245.544,55,1579.529
AK,2012,17,349,440.422,29,2792.602
AK,2012,18,183,795.309,13,6012.448
AK,2012,19,24,2032.58,3,14595.453
AK,2012,20,1,4118.243,0,0
AK,2012,21,0,0,0,0
AK,2012,22,0,0,0,0
AK,2012,23,1985,272.126,257,1368.126
AK,2011,1,30,0.316,19,1.499
AK,2011,2,10,1.249,9,6.879
AK,2011,3,15,2.516,4,17.489
AK,2011,4,9,3.781,6,30.144
AK,2011,5,13,6.113,4,38.398
AK,2011,6,17,8.113,0,0
AK,2011,6.5,94,3.396,42,12.659
AK,2011,7,14,9.782,2,64.271
AK,2011,8,15,12.051,5,66.382
AK,2011,8.5,123,5.115,49,20.699
AK,2011,9,20,14.513,5,78.329
AK,2011,10,22,19.17,4,112.284
AK,2011,11,23,23.957,6,155.845
AK,2011,12,37,30.798,6,174.49
AK,2011,13,39,37.003,10,257.075
AK,2011,14,232,68.654,29,403.587
AK,2011,14.5,496,41.733,109,176.091
AK,2011,15,456,130.271,35,802.481
AK,2011,16,522,247.809,58,1596.402
AK,2011,17,365,447.334,27,2863.31
AK,2011,18,173,846.097,15,7093.088
AK,2011,19,27,1792.11,3,13024.681
AK,2011,20,3,4151.956,0,0
AK,2011,21,0,0,0,0
AK,2011,22,0,0,0,0
AK,2011,23,2042,281.713,247,1473.476
AK,2010,1,19,0.324,18,1.13
AK,2010,2,7,1.228,4,5.958
AK,2010,3,13,2.351,10,14.881
AK,2010,4,15,3.765,7,21.015
AK,2010,5,11,5.843,3,28.866
AK,2010,6,14,7.648,3,35.626
AK,2010,6.5,79,3.502,45,12.564
AK,2010,7,13,8.267,3,49.521
AK,2010,8,10,11.921,4,61.434
AK,2010,8.5,102,4.945,52,18.937
AK,2010,9,24,14.03,7,82.104
AK,2010,10,20,20.208,5,122.145
AK,2010,11,22,23.487,8,143.024
AK,2010,12,47,30.615,9,181.157
AK,2010,13,34,39.494,1,190.326
AK,2010,14,223,67.416,31,423.545
AK,2010,14.5,472,42.1,113,166.71
AK,2010,15,462,133.248,27,869.163
AK,2010,16,499,248.315,44,1605.618
AK,2010,17,388,437.902,32,2915.076
AK,2010,18,190,837.506,16,6709.395
AK,2010,19,36,1771.895,4,13017.495
AK,2010,20,8,3543.939,0,0
AK,2010,21,0,0,0,0
AK,2010,22,0,0,0,0
AK,2010,23,2055,300.4,236,1583.645
AK,2009,1,19,0.308,19,1.407
AK,2009,2,13,1.431,5,9.374
AK,2009,3,8,2.476,3,16.879
AK,2009,4,14,4.328,6,28.19
AK,2009,5,14,5.812,5,34.907
AK,2009,6,10,7.668,6,44.744
AK,2009,6.5,78,3.489,44,16.527
AK,2009,7,8,9.838,1,60.992
AK,2009,8,13,11.945,4,62.361
AK,2009,8.5,99,5.075,49,20.899
AK,2009,9,26,16.254,5,80.669
AK,2009,10,34,19.304,6,120.484
AK,2009,11,13,23.267,4,150.103
AK,2009,12,52,31.078,4,201.053
AK,2009,13,44,41.123,10,245.51
AK,2009,14,181,66.707,28,388.616
AK,2009,14.5,449,39.132,106,161.421
AK,2009,15,466,133.665,34,745.751
AK,2009,16,486,248.692,45,1463.938
AK,2009,17,400,447.152,44,3033.182
AK,2009,18,209,829.377,16,6708.5
AK,2009,19,47,1788.354,8,12310.682
AK,2009,20,6,4328.051,0,0
AK,2009,21,1,7902.515,0,0
AK,2009,22,0,0,0,0
AK,2009,23,2064,320.376,253,1744.948
AK,2008,1,19,0.275,18,1.666
AK,2008,2,10,1.157,7,7.687
AK,2008,3,10,2.591,2,11.576
AK,2008,4,19,4.08,4,27.051
AK,2008,5,10,6.158,4,28.952
AK,2008,6,5,8.444,5,40.158
AK,2008,6.5,73,3.07,40,13.99
AK,2008,7,14,9.537,4,43.873
AK,2008,8,17,11.939,4,79.227
AK,2008,8.5,104,5.502,48,21.246
AK,2008,9,27,15.609,9,103.112
AK,2008,10,26,19.842,4,137.13
AK,2008,11,19,23.013,6,122.467
AK,2008,12,35,30.798,11,188.8
AK,2008,13,36,41.105,5,207.475
AK,2008,14,199,67.81,28,383.897
AK,2008,14.5,446,40.939,111,158.225
AK,2008,15,444,132.996,24,782.359
AK,2008,16,480,246.368,40,1472.837
AK,2008,17,399,463.897,41,3005.677
AK,2008,18,220,884.015,21,5886.155
AK,2008,19,47,1845.476,5,14917.245
AK,2008,20,9,3981.653,2,20271.302
AK,2008,21,2,8478.116,0,0
AK,2008,22,0,0,0,0
AK,2008,23,2047,341.835,244,1958.131
AK,2007,1,29,0.262,18,1.608
AK,2007,2,10,1.212,6,7.12
AK,2007,3,12,2.563,9,16.702
AK,2007,4,18,4.351,4,25.468
AK,2007,5,6,6.937,1,46.69
AK,2007,6,6,7.486,3,46.39
AK,2007,6.5,81,2.714,41,13.34
AK,2007,7,4,8.862,4,48.584
AK,2007,8,14,11.758,1,78.556
AK,2007,8.5,99,4.337,46,18.867
AK,2007,9,16,14.821,7,103.509
AK,2007,10,26,20.314,12,127.384
AK,2007,11,14,22.753,1,168.111
AK,2007,12,40,30.957,3,196.699
AK,2007,13,36,39.502,7,230.85
AK,2007,14,190,67.906,26,367.076
AK,2007,14.5,421,41.073,102,157.939
AK,2007,15,371,137.942,38,698.01
AK,2007,16,466,251.506,58,1374.034
AK,2007,17,360,446.564,47,2664.343
AK,2007,18,224,802.245,40,5650.284
AK,2007,19,86,1775.228,6,12066.129
AK,2007,20,13,3913.547,3,24737.363
AK,2007,21,2,8298.64,0,0
AK,2007,22,0,0,0,0
AK,2007,23,1943,374.91,294,2202.684
AK,2006,1,29,0.278,11,1.126
AK,2006,2,7,1.089,6,7.309
AK,2006,3,5,2.686,8,16.595
AK,2006,4,12,4.304,3,29.388
AK,2006,5,7,6.926,3,29.805
AK,2006,6,6,7.495,3,47.152
AK,2006,6.5,66,2.62,34,15.699
AK,2006,7,9,9.665,4,54.691
AK,2006,8,11,11.918,3,67.579
AK,2006,8.5,86,4.611,41,23.085
AK,2006,9,23,14.394,6,104.102
AK,2006,10,18,18.315,4,100.699
AK,2006,11,15,22.757,2,150.53
AK,2006,12,39,30.99,7,159.891
AK,2006,13,28,40.938,1,212.877
AK,2006,14,221,70.454,26,385.914
AK,2006,14.5,430,45.621,87,162.131
AK,2006,15,408,136.7,25,686.557
AK,2006,16,509,248.398,43,1599.069
AK,2006,17,388,451.185,36,3098.439
AK,2006,18,211,831.65,27,6601.226
AK,2006,19,64,1994.05,15,10993.203
AK,2006,20,20,4028.21,3,26103.987
AK,2006,21,2,7482.495,0,0
AK,2006,22,0,0,0,0
AK,2006,23,2032,372.892,236,2758.95
AK,2005,1,40,0.269,17,1.113
AK,2005,2,8,1.077,3,7.981
AK,2005,3,7,2.611,5,17.189
AK,2005,4,15,4.158,3,20.426
AK,2005,5,7,5.482,4,33.657
AK,2005,6,5,7.709,3,38.674
AK,2005,6.5,82,2.187,35,13.199
AK,2005,7,5,8.799,0,0
AK,2005,8,9,11.006,1,77.332
AK,2005,8.5,96,3.331,36,15.2
AK,2005,9,10,15.69,3,79.58
AK,2005,10,12,20.864,6,125.077
AK,2005,11,16,23.5,3,109.783
AK,2005,12,21,29.101,6,209.964
AK,2005,13,38,40.871,4,244.74
AK,2005,14,187,70.384,26,375.895
AK,2005,14.5,380,43.985,84,169.745
AK,2005,15,381,137.028,20,828.114
AK,2005,16,534,252.985,33,1493.008
AK,2005,17,439,469.433,32,3275.96
AK,2005,18,250,872.006,36,7083.286
AK,2005,19,80,1895.064,9,12947.11
AK,2005,20,27,4190.208,2,30826.058
AK,2005,21,1,8944.964,0,0
AK,2005,22,0,0,0,0
AK,2005,23,2092,424.479,216,2944.804
AK,2004,1,17,0.27,14,1.176
AK,2004,2,8,1.14,1,10.721
AK,2004,3,10,2.42,1,15.179
AK,2004,4,8,4.072,2,30.277
AK,2004,5,12,5.817,2,30.152
AK,2004,6,9,7.386,0,0
AK,2004,6.5,64,3.112,20,9.47
AK,2004,7,5,9.792,1,63.505
AK,2004,8,14,12.45,3,73.175
AK,2004,8.5,83,5.135,24,20.278
AK,2004,9,13,15.029,3,105.125
AK,2004,10,11,20.186,4,130.626
AK,2004,11,11,26.059,4,139.643
AK,2004,12,21,27.8,7,158.993
AK,2004,13,28,40.367,3,282.097
AK,2004,14,159,67.944,13,453.715
AK,2004,14.5,326,42.278,58,177.172
AK,2004,15,392,135.439,18,852.581
AK,2004,16,550,262.58,25,1755.531
AK,2004,17,438,480.727,30,3484.705
AK,2004,18,285,876.316,33,6697.019
AK,2004,19,94,1833.86,11,12344.745
AK,2004,20,21,3945.793,3,26041.776
AK,2004,21,5,7707.986,0,0
AK,2004,22,0,0,0,0
AK,2004,23,2111,449.91,178,3545.597
AK,2003,1,36,0.142,19,1.465
AK,2003,2,3,1.254,3,9.14
AK,2003,3,17,2.611,3,15.461
AK,2003,4,8,3.938,3,15.929
AK,2003,5,5,6.019,3,29.718
AK,2003,6,5,6.761,3,37.971
AK,2003,6.5,74,2.068,34,8.629
AK,2003,7,6,8.721,2,42.316
AK,2003,8,14,12.212,1,46.29
AK,2003,8.5,94,4.037,37,11.142
AK,2003,9,13,14.741,3,109.269
AK,2003,10,8,18.885,1,71.488
AK,2003,11,20,24.623,4,134.828
AK,2003,12,32,30.393,5,162.848
AK,2003,13,24,41.767,7,249.942
AK,2003,14,153,68.324,20,377.342
AK,2003,14.5,344,40.271,77,166.896
AK,2003,15,352,139.147,8,858.257
AK,2003,16,531,261.85,30,1562.712
AK,2003,17,458,489.613,32,3281.009
AK,2003,18,301,888.652,27,6583.434
AK,2003,19,90,1873.546,16,13555.921
AK,2003,20,31,4137.863,2,25967.522
AK,2003,21,4,7817.04,0,0
AK,2003,22,0,0,0,0
AK,2003,23,2111,481.004,192,3307.278
AK,2002,1,28,0.142,11,1.06
AK,2002,2,8,1.166,1,9.332
AK,2002,3,13,2.389,1,13.285
AK,2002,4,6,4.35,2,27.802
AK,2002,5,5,5.168,2,35.926
AK,2002,6,7,7.749,2,54.298
AK,2002,6.5,67,2.317,19,10.96
AK,2002,7,8,9.126,1,67.219
AK,2002,8,13,10.894,1,38.696
AK,2002,8.5,88,4.217,21,15.718
AK,2002,9,12,14.078,6,91.807
AK,2002,10,17,17.857,1,112.529
AK,2002,11,12,21.981,3,120.119
AK,2002,12,29,30.279,5,174.793
AK,2002,13,23,37.09,8,204.536
AK,2002,14,134,68.04,21,386.408
AK,2002,14.5,315,38.757,65,195.207
AK,2002,15,352,139.324,8,789.029
AK,2002,16,555,264.99,24,1636.318
AK,2002,17,491,500.492,17,3715.8
AK,2002,18,316,908.588,26,6893.204
AK,2002,19,72,1978.782,18,13663.27
AK,2002,20,23,4439.607,2,21805.725
AK,2002,21,8,8455.751,0,0
AK,2002,22,0,0,0,0
AK,2002,23,2132,484.149,160,3873.531
AK,2001,1,24,0.372,14,1.492
AK,2001,2,8,1.231,2,7.207
AK,2001,3,8,2.723,2,22.424
AK,2001,4,10,4.496,2,21.76
AK,2001,5,9,5.956,1,24.145
AK,2001,6,7,7.222,1,57.35
AK,2001,6.5,66,2.868,22,8.908
AK,2001,7,5,8.805,2,53.049
AK,2001,8,6,12.367,1,46.858
AK,2001,8.5,77,3.908,25,15.071
AK,2001,9,21,15.045,1,106.57
AK,2001,10,14,19.706,0,0
AK,2001,11,15,23.669,4,119.774
AK,2001,12,11,31.823,2,229.98
AK,2001,13,25,40.231,1,276.573
AK,2001,14,130,65.241,21,365.845
AK,2001,14.5,293,38.66,54,181.436
AK,2001,15,329,141.767,18,863.195
AK,2001,16,551,266.64,32,1579.215
AK,2001,17,525,515.709,18,3514.928
AK,2001,18,324,954.579,21,6453.103
AK,2001,19,69,1838.847,20,13361.952
AK,2001,20,23,4306.282,4,24666.896
AK,2001,21,5,7191.588,0,0
AK,2001,22,1,14340.967,0,0
AK,2001,23,2120,481.978,167,4001.482
AK,2000,1,13,0.318,9,0.731
AK,2000,2,6,1.381,0,0
AK,2000,3,9,2.496,3,19.968
AK,2000,4,11,4.027,2,22.234
AK,2000,5,8,6.091,1,39.508
AK,2000,6,6,8.575,0,0
AK,2000,6.5,53,3.315,15,10.036
AK,2000,7,4,10.228,1,70.611
AK,2000,8,6,11.515,3,60.034
AK,2000,8.5,63,4.514,19,22.386
AK,2000,9,13,15.521,2,102.816
AK,2000,10,9,20.364,1,120.978
AK,2000,11,8,23.662,1,161.074
AK,2000,12,15,28.546,1,113.254
AK,2000,13,24,39.184,4,243.313
AK,2000,14,123,66.207,20,385.515
AK,2000,14.5,255,41.511,48,219.067
AK,2000,15,264,140.506,19,910.566
AK,2000,16,518,269.974,23,1660.639
AK,2000,17,541,511.729,25,3242.223
AK,2000,18,342,977.725,22,7231.558
AK,2000,19,102,1780.637,16,12727.585
AK,2000,20,12,3837.608,5,22489.825
AK,2000,21,3,5862.385,1,25233.077
AK,2000,22,0,0,0,0
AK,2000,23,2037,497.816,159,4147.121
AL,2023,1,43,0.329,876,2.877
AL,2023,2,14,1.526,1128,8.967
AL,2023,3,55,3.046,1722,17.365
AL,2023,4,27,4.938,867,29.248
AL,2023,5,42,6.908,383,40.886
AL,2023,6,39,8.641,153,52.827
AL,2023,6.5,220,4.484,5129,18.065
AL,2023,7,18,10.686,71,65.347
AL,2023,8,25,13.015,41,82.623
AL,2023,8.5,263,5.758,5241,19.208
AL,2023,9,24,16.432,24,100.718
AL,2023,10,21,20.935,13,129.377
AL,2023,11,11,22.641,4,147.523
AL,2023,12,12,29.17,8,211.584
AL,2023,13,7,36.751,5,219.589
AL,2023,14,32,58.673,12,350.655
AL,2023,14.5,370,13.766,5307,20.964
AL,2023,15,17,124.464,13,669.095
AL,2023,16,4,264.335,11,1281.085
AL,2023,17,1,569.841,10,3170.572
AL,2023,18,0,0,10,5914.03
AL,2023,19,0,0,1,11746.521
AL,2023,20,0,0,0,0
AL,2023,21,0,0,0,0
AL,2023,22,0,0,0,0
AL,2023,23,392,22.373,5352,43.238
AL,2022,1,37,0.265,840,2.77
AL,2022,2,9,1.574,1025,9.095
AL,2022,3,46,2.987,1706,17.52
AL,2022,4,43,4.98,952,29.251
AL,2022,5,39,6.938,407,40.952
AL,2022,6,38,8.602,183,53.606
AL,2022,6.5,212,4.65,5113,18.836
AL,2022,7,18,10.803,73,65.266
AL,2022,8,21,12.484,30,79.671
AL,2022,8.5,251,5.752,5216,19.834
AL,2022,9,23,17.232,33,98.691
AL,2022,10,19,19.551,10,128
AL,2022,11,19,23.354,3,146.061
AL,2022,12,19,29.86,10,205.788
AL,2022,13,6,41.309,8,275.365
AL,2022,14,33,59.791,13,323.813
AL,2022,14.5,370,14.76,5293,21.856
AL,2022,15,16,119.199,11,583.646
AL,2022,16,4,231.735,11,1297.109
AL,2022,17,1,546.677,12,3465.893
AL,2022,18,0,0,8,6449.021
AL,2022,19,0,0,2,11534.985
AL,2022,20,0,0,0,0
AL,2022,21,0,0,0,0
AL,2022,22,0,0,0,0
AL,2022,23,391,22.621,5337,47.473
AL,2021,1,50,0.336,746,2.737
AL,2021,2,26,1.398,967,9.177
AL,2021,3,33,3.221,1770,17.416
AL,2021,4,50,5.101,973,29.35
AL,2021,5,28,7.15,467,41.102
AL,2021,6,33,8.772,192,53.56
AL,2021,6.5,220,4.181,5115,19.604
AL,2021,7,11,10.926,96,64.773
AL,2021,8,17,13.299,45,80.259
AL,2021,8.5,248,5.109,5256,20.948
AL,2021,9,31,16.355,26,98.207
AL,2021,10,16,20.35,19,132.358
